[09/02 01:30] --- Ciclo 01:30 iniciado ---
[09/02 01:30] ⚡ ALERTA DISPARADO: TRXF11.SA
[09/02 01:30] ⚡ ALERTA DISPARADO: EQIX
[09/02 01:30] ⚡ ALERTA DISPARADO: JEPI
[09/02 01:30] ⚡ ALERTA DISPARADO: NOBL
[09/02 01:31] ⚡ ALERTA DISPARADO: MCD
[09/02 01:31] ⚡ ALERTA DISPARADO: SCHD
[09/02 10:34] 🔎 GGRC11.SA: $10.01 (RSI: 57)
[09/02 10:34] 🔎 HFOF11.SA: $6.78 (RSI: 56)
[09/02 10:34] 🔎 HGLG11.SA: $156.95 (RSI: 46)
[09/02 10:34] 🔎 JURO11.SA: $102.83 (RSI: 50)
[09/02 10:34] 🔎 KFOF11.SA: $84.03 (RSI: 44)
[09/02 10:34] 🔎 KNCR11.SA: $105.55 (RSI: 45)
[09/02 10:34] 🔎 MXRF11.SA: $9.61 (RSI: 61)
[09/02 10:34] 🔎 PVBI11.SA: $82.82 (RSI: 57)
[09/02 10:34] 🔎 RBHG11.SA: $68.80 (RSI: 65)
[09/02 10:34] 🔎 RBVA11.SA: $9.90 (RSI: 45)
[09/02 10:34] 🔎 RECT11.SA: $38.13 (RSI: 41)
[09/02 10:34] 🔎 TRXF11.SA: $93.35 (RSI: 20)
[09/02 10:34] ⚡ ALERTA DISPARADO: TRXF11.SA
[09/02 10:34] 🔎 VGIR11.SA: $9.84 (RSI: 54)
[09/02 10:34] 🔎 XPML11.SA: $110.40 (RSI: 56)
[09/02 10:34] 🔎 ARE: $55.90 (RSI: 55)
[09/02 10:34] 🔎 EPR: $56.25 (RSI: 65)
[09/02 10:34] 🔎 EQIX: $848.12 (RSI: 70)
[09/02 10:34] ⚡ ALERTA DISPARADO: EQIX
[09/02 10:34] 🔎 GLPI: $45.32 (RSI: 53)
[09/02 10:34] 🔎 IAUM: $49.36 (RSI: 56)
[09/02 10:34] 🔎 IBIT: $39.68 (RSI: 31)
[09/02 10:34] 🔎 JEPI: $59.11 (RSI: 63)
[09/02 10:34] ⚡ ALERTA DISPARADO: JEPI
[09/02 10:34] 🔎 NOBL: $113.85 (RSI: 75)
[09/02 10:34] ⚡ ALERTA DISPARADO: NOBL
[09/02 10:34] 🔎 O: $63.23 (RSI: 69)
[09/02 10:34] 🔎 OHI: $45.28 (RSI: 59)
[09/02 10:34] 🔎 PSA: $287.00 (RSI: 58)
[09/02 10:34] 🔎 QQQ: $609.65 (RSI: 44)
[09/02 10:34] 🔎 MCD: $327.16 (RSI: 73)
[09/02 10:34] ⚡ ALERTA DISPARADO: MCD
[09/02 10:34] 🔎 REXR: $38.97 (RSI: 44)
[09/02 10:34] 🔎 RING: $83.10 (RSI: 50)
[09/02 10:34] 🔎 SCHD: $31.47 (RSI: 87)
[09/02 10:34] ⚡ ALERTA DISPARADO: SCHD
[09/02 10:34] 🔎 SHV: $110.18 (RSI: 42)
[09/02 10:34] 🔎 STAG: $39.31 (RSI: 68)
[09/02 10:34] 🔎 VICI: $28.76 (RSI: 57)
[09/02 10:34] 🔎 VNQ: $92.25 (RSI: 62)
[09/02 10:34] 🔎 VOO: $635.24 (RSI: 52)
[09/02 10:34] 🔎 BTC-USD: $69126.93 (RSI: 32)
[09/02 11:19] --- Ciclo 11:19 iniciado ---
[09/02 11:19] 🔎 ^BVSP: $183529.27 (RSI: 70)
[09/02 11:19] 🔎 BOVA11.SA: $180.10 (RSI: 70)
[09/02 11:19] 🔎 AFHI11.SA: $96.27 (RSI: 56)
[09/02 11:19] 🔎 CDII11.SA: $106.44 (RSI: 40)
[09/02 11:19] 🔎 GGRC11.SA: $10.01 (RSI: 57)
[09/02 11:19] 🔎 HFOF11.SA: $6.77 (RSI: 55)
[09/02 11:19] 🔎 HGLG11.SA: $156.96 (RSI: 46)
[09/02 11:19] 🔎 JURO11.SA: $102.70 (RSI: 49)
[09/02 11:19] 🔎 KFOF11.SA: $84.05 (RSI: 44)
[09/02 11:19] 🔎 KNCR11.SA: $105.41 (RSI: 44)
[09/02 11:19] 🔎 MXRF11.SA: $9.60 (RSI: 60)
[09/02 11:19] 🔎 PVBI11.SA: $82.74 (RSI: 56)
[09/02 11:19] 🔎 RBHG11.SA: $68.89 (RSI: 65)
[09/02 11:19] 🔎 RBVA11.SA: $9.89 (RSI: 44)
[09/02 11:19] 🔎 RECT11.SA: $38.12 (RSI: 41)
[09/02 11:19] 🔎 TRXF11.SA: $93.20 (RSI: 19)
[09/02 11:19] 🔎 VGIR11.SA: $9.80 (RSI: 50)
[09/02 11:19] 🔎 XPML11.SA: $110.30 (RSI: 56)
[09/02 11:19] 🔎 ARE: $55.90 (RSI: 55)
[09/02 11:19] 🔎 EPR: $56.25 (RSI: 65)
[09/02 11:19] 🔎 EQIX: $848.12 (RSI: 70)
[09/02 11:19] 🔎 GLPI: $45.32 (RSI: 53)
[09/02 11:19] 🔎 IAUM: $49.36 (RSI: 56)
[09/02 11:19] 🔎 IBIT: $39.68 (RSI: 31)
